Confnum,Reservation ID,Status,Booking Date,Arrival Date,Departure Date,Booking Window,LOS,Quantity,Room Type,Revenue,Adults,Children,Rate Code,Market Segment Group,Market Code,Source Code,Reservation Type,Block Id
105159,100018,CKOT,7/31/17,6/2/18,6/4/18,306,2,1,A1K,630,2,0,NH7,Retail Discount,CSI,GDS,,
105160,100021,CKOT,7/31/17,7/15/18,7/18/18,349,3,1,B1K,1021,2,0,T08,Retail Discount,TRA,XBE,,
105161,100022,CKOT,7/31/17,7/15/18,7/18/18,349,3,1,B1K,1021,2,0,T08,Retail Discount,TRA,XBE,,
105162,100023,CKOT,7/31/17,7/15/18,7/18/18,349,3,1,B1K,1021,2,0,T08,Retail Discount,TRA,XBE,,
105247,100115,CKOT,8/1/17,1/3/18,1/6/18,155,3,1,ADA,765,2,0,T08,Retail Discount,TRA,GDS,,
105333,100210,CKOT,8/3/17,7/7/18,7/10/18,338,3,1,A1K,675,2,0,R04,BAR,RAC,PLC,,
105898,100392,CKOT,8/6/17,12/30/17,1/2/18,146,3,1,B1K,978,2,0,T08,Retail Discount,TRA,HRO,,
105988,100491,CKOT,8/8/17,1/15/18,1/16/18,160,1,1,D1K,355,1,0,R04,Retail Discount,TRA,HRO,,
106511,100868,CKOT,8/15/17,7/26/18,7/28/18,345,2,1,A1K,897,2,0,T05,Retail Discount,TRA,PLC,,
106512,100869,CKOT,8/15/17,7/26/18,7/28/18,345,2,1,A1D,897,2,0,T05,Retail Discount,TRA,PLC,,
106559,100919,CKOT,8/15/17,2/17/18,2/18/18,186,1,1,C1K,460,2,0,NMNM,Retail Discount,CSI,GDS,,
106560,100920,CKOT,8/15/17,3/7/18,3/8/18,204,1,1,B1S,670,2,0,NMNM,Retail Discount,CSI,GDS,,
106791,101509,CKOT,8/19/17,1/26/18,1/29/18,160,3,1,D1K,1046,2,0,T08,Retail Discount,TRA,PLC,,
107222,102154,CKOT,8/26/17,1/19/18,1/22/18,146,3,1,B1K,850,2,0,T08,Retail Discount,TRA,PLC,,
107397,102248,CKOT,8/27/17,5/6/18,5/10/18,252,4,1,A1K,1718,2,0,R04,BAR,RAC,PLC,,
118184,112456,CKOT,12/17/17,1/6/18,1/7/18,20,1,1,B1K,265,1,0,R04,BAR,RAC,TAJ,,
108297,103019,CKOT,9/5/17,6/26/18,7/1/18,294,5,1,B1K,1375,2,0,LEUBONOT,Leisure,LEI,PMS,,
108338,103061,CKOT,9/6/17,1/12/18,1/16/18,128,4,1,A1K,1200,2,0,NMNM,Retail Discount,CSI,HRO,,
108339,103062,CKOT,9/6/17,1/12/18,1/15/18,128,3,1,B1K,900,2,0,NMNM,Retail Discount,CSI,HRO,,
108340,103064,CKOT,9/6/17,1/12/18,1/15/18,128,3,1,B1K,900,2,0,NMNM,Retail Discount,CSI,HRO,,
108546,103281,CKOT,9/8/17,1/22/18,1/25/18,136,3,1,B1K,969,1,0,T08,Retail Discount,TRA,TAJ,,
108547,103282,CKOT,9/8/17,2/27/18,3/1/18,172,2,1,D1K,650,2,0,LEUBONOT,Leisure,LEI,HRO,,
109051,103654,CKOT,9/12/17,4/15/18,4/20/18,215,5,1,B1K,2151,1,0,NB15,OTA E-Commerce,TEC,TPS,,
109052,103655,CKOT,9/12/17,4/15/18,4/21/18,215,6,1,A1D,3058,2,0,NB15,OTA E-Commerce,TEC,TPS,,
109053,103656,CKOT,9/12/17,4/15/18,4/20/18,215,5,1,A1D,2620,2,0,NB15,OTA E-Commerce,TEC,TPS,,
109054,103657,CKOT,9/12/17,4/15/18,4/20/18,215,5,1,A1D,2620,2,0,NB15,OTA E-Commerce,TEC,TPS,,
109071,103673,CKOT,9/12/17,8/14/18,8/18/18,336,4,1,B1K,1120,2,0,LEUTOUR,Leisure,LEI,PMS,,
109131,103733,CKOT,9/13/17,4/6/18,4/9/18,205,3,1,B1K,765,2,0,T08,Retail Discount,TRA,PLC,,
109132,103734,CKOT,9/13/17,6/8/18,6/12/18,268,4,1,B1S,1276,2,0,NB15,OTA E-Commerce,TEC,BOOKINGDC,,
109170,103775,CKOT,9/13/17,2/18/18,2/19/18,158,1,1,B1K,212,2,0,NW86,OTA E-Commerce,TEC,TPS,,
109221,103818,CKOT,9/14/17,4/5/18,4/9/18,203,4,1,D1K,1080,2,0,NH7,Retail Discount,CSI,GDS,,
109312,103912,CKOT,9/15/17,1/27/18,2/1/18,134,5,1,A1D,1201,2,0,N78M,OTA E-Commerce,TEC,TPS,,
109358,103961,CKOT,9/15/17,1/14/18,1/16/18,121,2,1,B1K,549,1,0,R04,BAR,RAC,PLC,,
109353,103955,CKOT,9/15/17,6/5/18,6/8/18,263,3,1,C1K,975,2,0,LEUGTA,Leisure,LEI,PMS,,
109386,103993,CKOT,9/15/17,8/10/18,8/19/18,329,9,1,B1K,2445,2,0,LEUBONOT,Leisure,LEI,PMS,,
109409,104019,CKOT,9/15/17,1/18/18,1/21/18,125,3,1,A1D,1131,2,0,T08,Retail Discount,TRA,HRO,,
109410,104020,CKOT,9/15/17,1/18/18,1/21/18,125,3,1,A1D,1131,2,0,T08,Retail Discount,TRA,HRO,,
109411,104021,CKOT,9/15/17,1/18/18,1/21/18,125,3,1,A1K,1038,1,0,T08,Retail Discount,TRA,HRO,,
109420,104031,CKOT,9/16/17,4/15/18,4/20/18,211,5,1,A1D,1936,2,0,NB15,OTA E-Commerce,TEC,TPS,,
109709,104340,CKOT,9/18/17,12/28/17,1/3/18,101,6,1,C1S,2985,2,0,R04,BAR,RAC,PLC,,
109710,104341,CKOT,9/18/17,12/30/17,1/3/18,103,4,1,B1K,1095,2,0,R04,BAR,RAC,PLC,,
109711,104342,CKOT,9/18/17,12/30/17,1/3/18,103,4,1,B1K,1035,1,0,R04,BAR,RAC,PLC,,
109712,104343,CKOT,9/18/17,2/3/18,2/6/18,138,3,1,B1K,829,2,0,T08,Retail Discount,TRA,PLC,,
